target variable	mapping	Question	Question	Note	InterVA4
ID	as.integer(rec_id)				0
ELDER	any_to_y(c(ageInYears >= 65, age_adult >= 65))	Was (s)he aged 65 years or over at death?			1010
MIDAGE	any_to_y(c(ageInYears >=50 && ageInYears <= 64, age_group ==  'adult' && age_adult >= 50 && age_adult <= 64))	Was (s)he aged 50 to 64 years at death?			1020
ADULT	any_to_y(c(ageInYears >=15 && ageInYears <= 49, age_group ==  'adult' && age_adult >= 15 && age_adult <= 49))	Was (s)he aged 15-49 years at death?			1030
CHILD	true_to_y_dot('' == any_to_y(c(ageInYears >= 5 && ageInYears < 15, age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 1*365.25 && age_child_days <  15*365.25, age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1*12 && age_child_months < 5*12, age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 1 && age_child_years < 15)) && '' == any_to_y(c(ageInMonths >= 5*12 && ageInMonths < 15*12, age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 5*365.25 && age_child_days < 15*365.25, age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 5*12 && age_child_months < 15*12)))	Was (s)he aged 5 to 14 years at death?			1040
UNDER5	any_to_y(c(ageInYears >= 1 && ageInYears <=4, age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 1*365.25 && age_child_days <  5*365.25, age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1*12 && age_child_months < 5*12, age_group ==  'child' && age_child_unit == 'years' && age_child_years >= 1 && age_child_years <= 4))	Was (s)he aged 1 to 4 years at death?			1050
INFANT	any_to_y(c(ageInMonths >= 1 && ageInMonths <= 11, age_group ==  'child' && age_child_unit == 'days' && age_child_days >= 28 && age_child_days < 12*30.4, age_group ==  'child' && age_child_unit == 'months' && age_child_months >= 1 && age_child_months <= 11))	Was (s)he aged 1 to 11 months at death?			1060
NEONATE	true_to_y_dot(isNeonatal == 1)	Was (s)he aged 28 days or less at death?			1070
MALE	true_to_y_dot(Id10019 == 'male')	Was the deceased male?	What was the sex of the deceased?		1080
FEMALE	true_to_y_dot(Id10019 == 'female')	Was the deceased female?	What was the sex of the deceased?		1090
MAGEGP1	any_to_y(c(Id10019 == 'female' && ageInYears >=12 && ageInYears <= 19, Id10019 == 'female' && age_group ==  'adult' && age_adult >= 12 && age_adult <= 19))	Was this a woman aged 12 to 19 years at death?	What was the sex of the deceased?		1100
MAGEGP2	any_to_y(c(Id10019 == 'female' && (ageInYears >=20 && ageInYears <= 34), Id10019 == 'female' && (age_group ==  'adult' && age_adult >= 20 && age_adult <= 34)))	Was this a woman aged 20-34 years at death?	What was the sex of the deceased?		1110
MAGEGP3	any_to_y(c(Id10019 == 'female' && ageInYears >=35 && ageInYears <= 49, Id10019 == 'female' && age_group ==  'adult' && age_adult >= 35 && age_adult <= 49))	Was this a woman aged 35-49 years at death?	What was the sex of the deceased?		1120
DIED_D1	any_to_y(c(ageInDays == 0, age_group == 'neonate' && age_neonate_days <= 1,  age_group == 'neonate' && age_neonate_minutes <= 24*60, age_group == 'neonate' && age_neonate_hours <= 24))	Did the baby die within 24 hours of birth?			1130
DIED_D23	any_to_y(c(ageInDays == 1, age_group  == 'neonate' && age_neonate_days > 0 && age_neonate_days < 2, age_group  == 'neonate' && age_neonate_hours > 24 && age_neonate_hours <= 48, age_group  == 'neonate' && age_neonate_minutes > 24*60 && age_neonate_minutes <= 2*24*60))	Did the baby die more than 24 hours after birth but within 48 hours from birth?			1140
DIED_D36	any_to_y(c(ageInDays > 2 && ageInDays <= 7, age_group == 'neonate' && age_neonate_days > 2 && age_neonate_days <= 7, age_group == 'neonate' && age_neonate_hours > 48 && age_neonate_hours < 7*24, age_group == 'neonate' && age_neonate_minutes > 2*24*60 && age_neonate_minutes < 7*24*60))	Did baby die more than 48 hours from birth but within the first week of life?			1150
DIED_W1	any_to_y(c(ageInDays > 7 && ageInDays <= 28, age_group == 'neonate' && age_neonate_days > 7 && age_neonate_days <= 28, age_group == 'neonate' && age_neonate_hours > 7*24 && age_neonate_hours <= 28*24, age_group == 'neonate' && age_neonate_minutes > 7*24*60 && age_neonate_minutes <= 28*24*60))	Did baby die after first week, but within first 28 days?			1160
ACUTE	any_to_empty(c(Id10120 >= 7*3, Id10122 >= 3,  Id10121 >= 1))	Was (s)he ill for less than 3 weeks before death?	For how many days was (s)he ill before (s)he died?		1170
CHRONIC	any_to_y(c(Id10120 >= 7*3, Id10122 >= 3,  Id10121 >= 1))	Was (s)he ill for 3 weeks or more before death?	For how many days was (s)he ill before (s)he died?		1180
SUDDEN	true_to_y_dot(Id10123 == 'yes')	Did (s)he die suddenly?	Did (s)he die suddenly?		1190
WET_SEAS	true_to_y_dot(Id10004 == 'wet')	Did (s)he die during the wet season?	During which season did (s)he die?		1200
DRY_SEAS	true_to_y_dot(Id10004 == 'dry')	Did (s)he die during the dry season?	During which season did (s)he die?		1210
HEART_DIS	true_to_y_dot(Id10133 == 'yes')	Was there any diagnosis of Heart disease	Was there any diagnosis by a physician or health worker of heart disease?		1220
TUBER	true_to_y_dot(Id10125 == 'yes')	Was there any diagnosis of Tuberculosis	Was there any diagnosis by a physician or health worker of tuberculosis?		1230
HIV_AIDS	any_to_y(c(Id10126 == 'yes', Id10127 == 'yes'))	Was there any diagnosis of HIV/AIDS	Was there any diagnosis by a physician or health worker of HIV/AIDS?		1240
HYPERT	true_to_y_dot(Id10132 == 'yes')	Was there any diagnosis of High Blood pressure	Was there any diagnosis by a physician or health worker of high blood pressure?		1250
DIABETES	true_to_y_dot(Id10134 == 'yes')	Was there any diagnosis of Diabetes	Was there any diagnosis by a physician or health worker of diabetes?		1260
ASTHMA	true_to_y_dot(Id10135 == 'yes')	Was there any diagnosis of Asthma	Was there any diagnosis by a physician or health worker of asthma?		1270
EPILEPSY	true_to_y_dot(Id10136 == 'yes')	Was there any diagnosis of Epilepsy	Was there any diagnosis by a physician or health worker of epilepsy?		1280
CANCER	true_to_y_dot(Id10137 == 'yes')	Was there any diagnosis of Cancer	Was there any diagnosis by a physician or health worker of cancer?		1290
COPD	true_to_y_dot(Id10138 == 'yes')	Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD)	Was there any diagnosis by a physician or health worker of Chronic Obstructive Pulmonary Disease (COPD)?		1300
DEMENT	true_to_y_dot(Id10139 == 'yes')	Was there any diagnosis of Dementia	Was there any diagnosis by a physician or health worker of dementia?		1310
DEPRESS	true_to_y_dot(Id10140 == 'yes')	Was there any diagnosis of Depression	Was there any diagnosis by a physician or health worker of depression?		1320
STROKE	true_to_y_dot(Id10141 == 'yes')	 Was there any diagnosis of Stroke	Was there any diagnosis by a physician or health worker of stroke?		1330
SICKLE	true_to_y_dot(Id10142 == 'yes')	Was there any diagnosis of Sickle cell disease	Was there any diagnosis by a physician or health worker of sickle cell disease?		1340
KIDNEY_DIS	true_to_y_dot(Id10143 == 'yes')	Was there any diagnosis of Kidney disease	Was there any diagnosis by a physician or health worker of kidney disease?		1350
LIVER_DIS	true_to_y_dot(Id10144 == 'yes')	Was there any diagnosis of Liver disease	Was there any diagnosis by a physician or health worker of liver disease?		1360
MEASLES	true_to_y_dot(Id10131 == 'yes')	Was there any diagnosis of Measles	Was there any diagnosis by a physician or health worker of measles?		1370
MEN_CON	true_to_y_dot(Id10212 == 'yes')	Did (s)he have mental confusion?	Did (s)he have mental confusion?		1380
MENCON3	true_to_y_dot(Id10212 == 'yes' && Id10213 >= 3)	Did (s)he have mental confusion for 3 months or more?	For how many months did (s)he have mental confusion?		1390
MALARIA	true_to_y_dot(Id10128 == 'yes')	Did (s)he have a recent positive test for malaria?	Did (s)he have a recent positive test by a physician or health worker for malaria?	This reflects a positive test for malaria within a week of death.	1400
MALARNEG	true_to_y_dot(Id10129 == 'yes')	Did (s)he have a recent negative test for malaria?	Did (s)he have a recent negative test by a physician or health worker for malaria?	This reflects a negative test for malaria within a week of death.	1410
FEVER	"any_to_y(c(Id10147 == 'yes', multi_select_contains(""Fever"", Id10477), multi_select_contains(""fever"", Id10478)))"	Did (s)he have a fever?	Did (s)he have a fever?	Select this if there were any signs of fever during the final illness	2000
AC_FEVER	true_to_y_dot(Id10147 == 'yes' && Id10148 < 14)	Did (s)he have fever for less than 2 weeks before death?	How many days did the fever last?		2010
CH_FEVER	true_to_y_dot(Id10147 == 'yes' && Id10148 >= 14)	Did (s)he have fever for 2 weeks or more before death?	How many days did the fever last?		2020
NIGHT_SW	true_to_y_dot(Id10152 == 'yes')	Did (s)he have night sweats?	Did (s)he have night sweats?		2030
COUGH	true_to_y_dot(Id10153 == 'yes')	Did (s)he have a cough?	Did (s)he have a cough?		2040
AC_COUGH	true_to_y_dot(Id10153 == 'yes' && Id10154 < 21)	Did (s)he have a cough for less than 3 weeks before death?	For how many days did (s)he have a cough?		2050
CH_COUGH	true_to_y_dot(Id10153 == 'yes' && Id10154 >= 21)	Did (s)he have a cough for 3 weeks or more before death?	For how many days did (s)he have a cough?		2060
PR_COUGH	true_to_y_dot(Id10155 == 'yes')	Was the cough productive with sputum?	Was the cough productive, with sputum?		2070
BL_COUGH	true_to_y_dot(Id10157 == 'yes')	Did (s)he cough up blood?	Did (s)he cough up blood?		2080
WHOOP	true_to_y_dot(Id10158 == 'yes')	Did (s)he make a whooping sound when coughing?	Did (s)he make a whooping sound when coughing?		2090
BREATH	true_to_y_dot(Id10159 == 'yes')	Did (s)he have any breathing problem?	Did (s)he have any breathing problem?		2100
RAPID_BR	true_to_y_dot(Id10166 == 'yes')	Did (s)he have fast breathing?	During the illness that led to death, did (s)he have fast breathing?	"If the ""any breathing problem"" indicator is selected, select this one if the deceased was an infant or child who was breathing much faster than normal."	2110
AC_RPBR	true_to_y_dot(Id10166 == 'yes' && Id10167 < 14)	Did (s)he have fast breathing for less than 2 weeks?	For how many days did the fast breathing last?		2120
CH_RPBR	true_to_y_dot(Id10166 == 'yes'&& Id10167 >= 14)	Did (s)he have fast breathing for 2 weeks or more?	For how many days did the fast breathing last?		2130
BR_LESS	"any_to_y(c(Id10168 == 'yes', multi_select_contains(""respiratory_distress"", Id10479)))"	Did (s)he have breathlessness?	Did (s)he have breathlessness?		2140
AC_BRL	true_to_y_dot(Id10168 == 'yes' && Id10169 < 2*7)	Did (s)he have breathlessness for less than 2 weeks?	For how many weeks did (s)he have breathlessness?		2150
CH_BRL	true_to_y_dot(Id10168 == 'yes' &&Id10169 >= 2*7)	Did (s)he have breathlessness for 2 weeks or more?	For how many weeks did (s)he have breathlessness?		2160
EXERT_BR	true_to_y_dot(Id10168 == 'yes' && Id10170 == 'yes')	Was (s)he unable to carry out daily routines due to breathlessness?	Was (s)he unable to carry out daily routines due to breathlessness?		2170
LYING_BR	true_to_y_dot(Id10168 == 'yes' && Id10171 == 'yes')	Was (s)he breathless while lying flat?	Was (s)he breathless while lying flat?		2180
CHEST_IN	true_to_y_dot(Id10172 == 'yes')	Did you see the lower chest wall/ribs being pulled in as the child breathed?	Did you see the lower chest wall/ribs being pulled in as the child breathed?		2190
WHEEZE	any_to_y(c(Id10173 == 'stridor', Id10173 == 'grunting', Id10173 == 'wheezing'))	Did (s)he have noisy breathing (grunting or wheezing)?	During the illness that led to death did his/her breathing sound like any of the following:		2200
CH_PAIN	true_to_y_dot(Id10174 == 'yes')	Did (s)he have severe chest pain?	Did (s)he have severe chest pain?		2210
YELLOW	any_to_y(c(Id10265 == 'yes', Id10477 == 'Jaundice', Id10478 == 'jaundice'))	Did (s)he have yellow discoloration of the eyes?	Did (s)he have yellow discoloration of the eyes?		2220
DIARR	any_to_y(c(Id10181 == 'yes', Id10478 == 'diarrhea'))	Did (s)he have diarrhoea?	Did (s)he have diarrhoea?		2230
AC_DIARR	true_to_y_dot(Id10181 == 'yes' && Id10182 < 14)	Did (s)he have diarrhoea for less than 2 weeks?	For how many days did (s)he have diarrhoea?		2240
PE_DIARR	true_to_y_dot(Id10181 == 'yes' && Id10182 >= 14 && Id10182 < 4*7)	Did (s)he have diarrhoea for 2 to 4 weeks?	For how many days did (s)he have diarrhoea?	Select this if the diarrhoea lasted for 2 to 4 weeks, not necessarily every day	2250
CH_DIARR	true_to_y_dot(Id10181 == 'yes' && Id10182 >= 4*7)	Did (s)he have diarrhoea for 4 weeks or more?	For how many days did (s)he have diarrhoea?		2260
BL_DIARR	true_to_y_dot(Id10181 == 'yes' && Id10186 == 'yes')	At any time during the final illness was there blood in the stools?	At any time during the final illness was there blood in the stools?		2270
VOMITING	true_to_y_dot(Id10188 == 'yes')	Did (s)he vomit?	Did (s)he vomit?		2280
BL_VOMIT	any_to_y(c(Id10189 == 'yes' && Id10191 == 'yes', Id10189 == 'yes' && Id10192 == 'yes'))	"Did (s)he vomit ""coffee grounds"" or bright red/blood?"	Did (s)he vomit blood?		2290
ABDOM	true_to_y_dot(Id10193 == 'yes')	Did (s)he have any abdominal problem?	Did (s)he have any abdominal problem?		2300
ABD_PAIN	true_to_y_dot(Id10194 == 'yes' && Id10195 == 'yes')	Did (s)he have severe abdominal pain?	Did (s)he have severe abdominal pain?		2310
AC_ABDP	any_to_empty(c(Id10195 != 'yes', Id10196 >= 24*2*7, Id10197 >= 2*7, Id10197b>=2, Id10198>0))	Did the abdominal pain last for less than 2 weeks?	For how many days before death did (s)he have severe abdominal pain?		2320
CH_ABDP	any_to_y(c(Id10195== 'yes' && Id10197 >= 2*7, Id10195== 'yes' && Id10196 >=24* 2*7, Id10195== 'yes' && Id10197b >= 2, Id10195== 'yes' && Id10198 > 0))	Did the abdominal pain last for 2 weeks or more?	For how many days before death did (s)he have severe abdominal pain?		2330
SWE_ABD	true_to_y_dot(Id10200 == 'yes')	Did (s)he have a more than usually protruding abdomen?	Did (s)he have a more than usually protruding abdomen?		2340
AC_SWAB	any_to_empty(c(Id10200 != 'yes', Id10201 >= 2*7, Id10202 > 0))	Did (s)he have a more than usually protruding abdomen for less than 2 weeks?	For how many days did (s)he have a more than usually protruding abdomen?		2350
CH_SWAB	any_to_y(c(Id10201 >= 2*7, Id10202 > 0))	Did (s)he have a more than usually protruding abdomen for 2 weeks or more?	For how many days did (s)he have a more than usually protruding abdomen?		2360
ABD_MASS	true_to_y_dot(Id10204 == 'yes')	Did (s)he have any lump inside the abdomen?	Did (s)he have any mass in the abdomen?		2370
AC_ABDM	any_to_empty(c(Id10204 != 'yes', Id10205 >= 2*7, Id10205 >=1))	Did (s)he have a lump inside the abdomen for less than 2 weeks?	For how many days before death did (s)he have a mass in the abdomen?		2380
CH_ABDM	any_to_y(c(Id10205 >= 2*7, Id10206 >= 1))	Did (s)he have a lump inside the abdomen for 2 weeks or more?	For how many days before death did (s)he have a mass in the abdomen?		2390
HEADACHE	true_to_y_dot(Id10207 == 'yes')	Did (s)he have a severe headache?	Did (s)he have a severe headache?		2400
SKIN	any_to_y(c(Id10227 == 'yes', Id10228 == 'yes', Id10233 == 'yes'))	Did (s)he have any skin problems?	Did (s)he have any skin problems?		2410
SKIN_LES	true_to_y_dot(Id10227 == 'yes' && Id10230 != 'yes')	Did (s)he have any ulcers, abscess or sores anywhere except on the feet?	Did (s)he have any ulcers, abscess or sores anywhere except on the feet?		2420
SK_FEET	true_to_y_dot(Id10230 == 'yes')	Did (s)he have any , ulcers, abscess or sores on the feet that were not also on other parts of the body?	Did (s)he have any ulcers, abscess or sores on the feet that were not also on other parts of the body?		2430
RASH	any_to_y(c(Id10233 == 'yes', Id10478 == 'rash'))	During the illness that led to death, did (s)he have any skin rash?	During the illness that led to death, did (s)he have any skin rash?		2440
AC_RASH	true_to_y_dot(Id10233 == 'yes' && Id10234 >= 0 && Id10234 < 7)	Did (s)he have the skin rash for less than 1 week?	For how many days did (s)he have the skin rash?		2450
CH_RASH	true_to_y_dot(Id10233 == 'yes' && Id10234 >= 7)	Did (s)he have the skin rash for 1 week or more?	For how many days did (s)he have the skin rash?		2460
MEASRASH	true_to_y_dot(Id10233 == 'yes' && Id10236 == 'yes')	Did (s)he have measles rash?	Did (s)he have measles rash (use local term)?		2470
HERPES	true_to_y_dot(Id10237 == 'yes')	Did (s)he ever have shingles or herpes zoster?	Did (s)he ever have shingles or herpes zoster?		2480
STIFF_NECK	any_to_y(c(Id10208 == 'yes', Id10210 == 'yes'))	Did (s)he have a stiff or painful neck?	Did (s)he have a stiff neck during illness that led to death?		2490
AC_STNK	any_to_empty(c(Id10208 != 'yes' && Id10210 != 'yes', Id10209 >= 7,  Id10211 >= 7))	Did (s)he have a stiff or painful neck for less than 1 week?	For how many days before death did (s)he have stiff neck?		2500
CH_STNK	any_to_y(c(Id10208 == 'yes' && Id10209 >= 7, Id10210 == 'yes' && Id10211 >= 7))	Did (s)he have a stiff or painful neck for 1 week or more?	For how many days before death did (s)he have stiff neck?		2510
COMA	true_to_y_dot(Id10215 == 'yes')	Was (s)he unconscious for more than 24 hours before death?	Was (s)he unconscious for more than 24 hours before death?		2520
CO_ONS	true_to_y_dot(Id10215 == 'yes' && Id10217 == 'yes')	Did the unconsciousness start suddenly (at least within a single day)?	Did the unconsciousness start suddenly, quickly (at least within a single day)?		2530
CONVUL	true_to_y_dot(Id10219 == 'yes')	Did (s)he have convulsions?	Did (s)he have convulsions?		2540
